Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,0,0,,7404aba0b05db6eccac6615687ba1c6f,,,,,,,,,,,
タイプA,Base Eyebrows A,1,0,1a7f198fd31b40855ad405c792bdcb4d,5b02242505a550ddcb751de47629546b,,,,,,,,,,,
,,2,0,,9ed4fa505066c754273d8325439cca41,,,,,,,,,,,
,,10,0,,a1fbe270b5b8d2ad2498521b0287ad87,,,,,,,,,,,
麻呂まゆ,Traditional Japanese Eyebrows,11,0,73b99e80007e1d7efec2145c9ce1c1c2,5b5107093d792b5cdc06917e5073d8a0,,,,,,,,,,,
,,12,0,,20fa3db6a4814d388734dfdefcece17a,,,,,,,,,,,
,,20,0,,b815cccca968c39a9ad56f204e41993a,,,,,,,,,,,
つながりまゆ,Unibrow,21,0,de4d910d3546a8eb2cbc0bb1e4f2fe8e,3581943067dd842d20ff1d6f739ff102,,,,,,,,,,,
,,22,0,,cdcf7aded106194afb7893b415fce256,,,,,,,,,,,
,,30,0,,,,,,,,,,,,,
,,31,0,,,,,,,,,,,,,
,,32,0,,,,,,,,,,,,,
,,40,0,,,,,,,,,,,,,
,,50,0,,,,,,,,,,,,,
,,60,0,,,,,,,,,,,,,
,,70,0,,,,,,,,,,,,,
,,80,0,,,,,,,,,,,,,
,,90,0,,,,,,,,,,,,,
,,91,0,,,,,,,,,,,,,
,,100,0,,,,,,,,,,,,,
,,110,0,,,,,,,,,,,,,
,,111,0,,,,,,,,,,,,,
,,120,0,,,,,,,,,,,,,
,,121,0,,,,,,,,,,,,,
,,130,0,,,,,,,,,,,,,
,,131,0,,,,,,,,,,,,,
,,140,0,,,,,,,,,,,,,
,,141,0,,,,,,,,,,,,,
,,150,0,,,,,,,,,,,,,
,,151,0,,,,,,,,,,,,,
,,160,0,,,,,,,,,,,,,
,,161,0,,,,,,,,,,,,,
,,170,0,,,,,,,,,,,,,
,,171,0,,,,,,,,,,,,,
,,180,0,,,,,,,,,,,,,
,,190,0,,,,,,,,,,,,,
